Start,End,Lobbyist,Client,Industry,Cluster
2012-10-19,2013-10-19,Frank Del Castillo,Cornerbrook Development,Multi-family Development,217
2012-10-19,2013-10-19,Frank Del Castillo,Rancho Garza,Land Development,218
2012-10-19,2013-10-19,Frank Del Castillo,Austin Community College District,Community College,219
2012-10-19,2013-10-19,Frank Del Castillo,One World Theatre,Entertainment,220
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",HDR,Engineering Firm,221
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",CCARE,Business League,899
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",AMD,High Tech,118
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",Armbrust and Brown,Law Firm,222
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",Endeavor Real Estate Group,Real Estate Investment/Development,70
2013-10-08,2014-10-08,"Derlis ""Trey"" Salinas III",Tokyo Electron America,High Tech,223
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",Wal-Mart,Retail Merchant,224
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",MWH Constructors,Contractors,627
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",West Austin Youth Association,Youth Recreational Facility,226
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",Cirrus Logic,Real Estate Development,196
2013-10-08,2014-10-08,"Derlis ""Trey"" Salinas III",Southwest Securities,Water District Issues,900
2013-10-08,2014-10-08,"Derlis ""Trey"" Salinas III",Skanska,Real Estate Developer,901
2013-10-08,2015-10-16,"Derlis ""Trey"" Salinas III",3 Point Partners,Public Affairs,228
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",McShane Development,Real Estate Development,110
2013-10-08,2014-10-08,"Derlis ""Trey"" Salinas III",Simon Property Group,Real Estate Development,229
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",Circuit of the Americas,Sports and Special Events Productions,105
2013-10-08,2014-10-08,"Derlis ""Trey"" Salinas III",InSinkErator,Food Disposal,230
